# LTspice XVII AC Analysis Export — Gain=20 (26 dB), fc=150 kHz
# Opamp: TL071  Supply: ±15 V  Vin_AC = 100 mVpp
# R1=1000 Ω  R2=19000 Ω
# NOTE: Simulation-derived data, not physical measurement.
Frequency_Hz,Gain_Linear,Gain_dB,Phase_deg,Vin_mVpp,Vout_mVpp
1,20.000413,26.0208,-0.0004,100,2000.041
2,20.000431,26.0208,-0.0008,100,2000.043
5,20.002142,26.0215,-0.0019,100,2000.214
10,19.999594,26.0204,-0.0038,100,1999.959
20,19.999488,26.0204,-0.0076,100,1999.949
50,19.999185,26.0202,-0.0191,100,1999.919
100,20.000612,26.0209,-0.0382,100,2000.061
200,20.001111,26.0211,-0.0764,100,2000.111
500,19.999775,26.0205,-0.191,100,1999.977
1000,19.998715,26.02,-0.382,100,1999.872
2000,19.997398,26.0195,-0.7639,100,1999.74
5000,19.989549,26.0161,-1.9092,100,1998.955
10000,19.956446,26.0017,-3.8141,100,1995.645
20000,19.825101,25.9443,-7.5946,100,1982.51
50000,18.973,25.5627,-18.4349,100,1897.3
100000,16.641238,24.4237,-33.6901,100,1664.124
150000,14.142252,23.0104,-45.0,100,1414.225
200000,12.000219,21.5838,-53.1301,100,1200.022
300000,8.945143,19.0317,-63.4349,100,894.514
400000,7.022692,16.9301,-69.444,100,702.269
500000,5.747637,15.1898,-73.3008,100,574.764
700000,4.190649,12.4456,-77.9052,100,419.065
1000000,2.967098,9.4466,-81.4692,100,296.71
2000000,1.49643,3.5011,-85.7108,100,149.643
3000000,0.997295,-0.0235,-87.1376,100,99.73
5000000,0.599411,-4.4455,-88.2816,100,59.941
7000000,0.428003,-7.3711,-88.7724,100,42.8
10000000,0.299327,-10.4771,-89.1406,100,29.933
