# LTspice XVII AC Analysis Export — Gain=5  (14 dB), fc=600 kHz
# Opamp: TL071  Supply: ±15 V  Vin_AC = 100 mVpp
# R1=1000 Ω  R2=4000 Ω
# NOTE: Simulation-derived data, not physical measurement.
Frequency_Hz,Gain_Linear,Gain_dB,Phase_deg,Vin_mVpp,Vout_mVpp
1,4.999725,13.9789,-0.0001,100,499.972
2,5.001495,13.982,-0.0002,100,500.149
5,4.999134,13.9779,-0.0005,100,499.913
10,5.000968,13.9811,-0.001,100,500.097
20,4.998317,13.9765,-0.0019,100,499.832
50,4.999665,13.9788,-0.0048,100,499.967
100,5.000163,13.9797,-0.0095,100,500.016
200,5.000586,13.9804,-0.0191,100,500.059
500,5.000709,13.9806,-0.0477,100,500.071
1000,5.000786,13.9808,-0.0955,100,500.079
2000,4.999623,13.9787,-0.191,100,499.962
5000,4.999364,13.9783,-0.4775,100,499.936
10000,5.000164,13.9797,-0.9548,100,500.016
20000,4.997033,13.9742,-1.9092,100,499.703
50000,4.981453,13.9471,-4.7636,100,498.145
100000,4.930836,13.8584,-9.4623,100,493.084
150000,4.849793,13.7145,-14.0362,100,484.979
200000,4.743914,13.5227,-18.4349,100,474.391
300000,4.472278,13.0106,-26.5651,100,447.228
400000,4.160942,12.3838,-33.6901,100,416.094
500000,3.840679,11.6882,-39.8056,100,384.068
700000,3.254115,10.2487,-49.3987,100,325.412
1000000,2.573104,8.2091,-59.0362,100,257.31
2000000,1.43643,3.1457,-73.3008,100,143.643
3000000,0.981037,-0.1663,-78.6901,100,98.104
5000000,0.595064,-4.5087,-83.1572,100,59.506
7000000,0.426643,-7.3987,-85.1009,100,42.664
10000000,0.29908,-10.4843,-86.5664,100,29.908
