# LTspice XVII Noise Analysis — TL071 Input-Referred Noise Density
# Model: 1/f + white noise  (en_white=18 nV/√Hz, f_corner=200 Hz)
# NOTE: Simulation-derived data, not physical measurement.
Frequency_Hz,InputReferred_nV_rtHz,OutputReferred_Config1_nV_rtHz,OutputReferred_Config2_nV_rtHz,OutputReferred_Config3_nV_rtHz
1,255.194,2551.9404,5103.8809,1275.9702
2,180.8978,1808.9776,3617.9552,904.4888
5,115.2562,1152.5624,2305.1247,576.2812
10,82.4864,824.8636,1649.7273,412.4318
20,59.6992,596.9925,1193.9849,298.4962
50,40.2492,402.4922,804.9845,201.2461
100,31.1769,311.7691,623.5383,155.8846
200,25.4558,254.5584,509.1169,127.2792
500,21.2979,212.9789,425.9577,106.4894
1000,19.718,197.1801,394.3602,98.5901
2000,18.8786,188.7856,377.5712,94.3928
5000,18.3565,183.5647,367.1294,91.7824
10000,18.1791,181.7911,363.5822,90.8955
20000,18.0898,180.8978,361.7955,90.4489
50000,18.036,180.3596,360.7193,90.1798
100000,18.018,180.1799,360.3598,90.09
