# LTspice XVII Transient Analysis — Config 1 (Gain=10)
# f_input=1 kHz  Vin_amp=100 mV  Supply=±15 V
# NOTE: Simulation-derived data, not physical measurement.
Time_s,Vin_V,Vout_V
0.0,0.0,-0.002392
1e-06,0.000628,0.063805
2e-06,0.001257,0.124722
3e-06,0.001885,0.188509
4e-06,0.002513,0.252262
5e-06,0.003141,0.315001
6e-06,0.003769,0.378233
7e-06,0.004397,0.439484
8e-06,0.005024,0.501597
9e-06,0.005652,0.565026
1e-05,0.006279,0.624531
1.1e-05,0.006906,0.687706
1.2e-05,0.007533,0.750623
1.3e-05,0.008159,0.813912
1.4e-05,0.008785,0.879312
1.5e-05,0.009411,0.939272
1.6e-05,0.010036,1.002861
1.7e-05,0.010661,1.06871
1.8e-05,0.011286,1.127851
1.9e-05,0.01191,1.192447
2e-05,0.012533,1.251465
2.1e-05,0.013156,1.315233
2.2e-05,0.013779,1.376003
2.3e-05,0.014401,1.43943
2.4e-05,0.015023,1.503937
2.5e-05,0.015643,1.56089
2.6e-05,0.016264,1.62724
2.7e-05,0.016883,1.68881
2.8e-05,0.017502,1.749042
2.9e-05,0.018121,1.809166
3e-05,0.018738,1.873957
3.1e-05,0.019355,1.934436
3.2e-05,0.019971,1.997565
3.3e-05,0.020586,2.05867
3.4e-05,0.021201,2.123275
3.5e-05,0.021814,2.180954
3.6e-05,0.022427,2.240661
3.7e-05,0.023039,2.304253
3.8e-05,0.02365,2.36543
3.9e-05,0.02426,2.428711
4e-05,0.024869,2.488569
4.1e-05,0.025477,2.548421
4.2e-05,0.026084,2.611342
4.3e-05,0.02669,2.666642
4.4e-05,0.027295,2.72824
4.5e-05,0.027899,2.788058
4.6e-05,0.028502,2.849413
4.7e-05,0.029104,2.907608
4.8e-05,0.029704,2.971686
4.9e-05,0.030304,3.029908
5e-05,0.030902,3.087228
5.1e-05,0.031499,3.147834
5.2e-05,0.032094,3.210063
5.3e-05,0.032689,3.270557
5.4e-05,0.033282,3.332189
5.5e-05,0.033874,3.393207
5.6e-05,0.034464,3.447258
5.7e-05,0.035053,3.503364
5.8e-05,0.035641,3.559855
5.9e-05,0.036228,3.623289
6e-05,0.036812,3.67962
6.1e-05,0.037396,3.738761
6.2e-05,0.037978,3.796567
6.3e-05,0.038558,3.855558
6.4e-05,0.039137,3.915869
6.5e-05,0.039715,3.971793
6.6e-05,0.040291,4.028747
6.7e-05,0.040865,4.084419
6.8e-05,0.041438,4.140406
6.9e-05,0.042009,4.199885
7e-05,0.042578,4.257685
7.1e-05,0.043146,4.318096
7.2e-05,0.043712,4.371418
7.3e-05,0.044276,4.429548
7.4e-05,0.044838,4.482834
7.5e-05,0.045399,4.537535
7.6e-05,0.045958,4.593868
7.7e-05,0.046515,4.65006
7.8e-05,0.04707,4.711296
7.9e-05,0.047624,4.760739
8e-05,0.048175,4.819214
8.1e-05,0.048725,4.870695
8.2e-05,0.049273,4.929137
8.3e-05,0.049819,4.982621
8.4e-05,0.050362,5.035919
8.5e-05,0.050904,5.090333
8.6e-05,0.051444,5.143086
8.7e-05,0.051982,5.199066
8.8e-05,0.052517,5.250836
8.9e-05,0.053051,5.302661
9e-05,0.053583,5.355712
9.1e-05,0.054112,5.411558
9.2e-05,0.054639,5.467102
9.3e-05,0.055165,5.516779
9.4e-05,0.055688,5.568519
9.5e-05,0.056208,5.621405
9.6e-05,0.056727,5.675301
9.7e-05,0.057243,5.72476
9.8e-05,0.057757,5.774905
9.9e-05,0.058269,5.829117
0.0001,0.058779,5.87871
0.000101,0.059286,5.93164
0.000102,0.05979,5.979416
0.000103,0.060293,6.026846
0.000104,0.060793,6.076567
0.000105,0.061291,6.132372
0.000106,0.061786,6.182043
0.000107,0.062279,6.227519
0.000108,0.062769,6.276147
0.000109,0.063257,6.328625
0.00011,0.063742,6.372026
0.000111,0.064225,6.420737
0.000112,0.064706,6.471846
0.000113,0.065183,6.517548
0.000114,0.065659,6.565847
0.000115,0.066131,6.612792
0.000116,0.066601,6.660794
0.000117,0.067069,6.709671
0.000118,0.067533,6.753509
0.000119,0.067995,6.800822
0.00012,0.068455,6.841371
0.000121,0.068911,6.891041
0.000122,0.069365,6.934847
0.000123,0.069817,6.979217
0.000124,0.070265,7.024743
0.000125,0.070711,7.0704
